strategy,avg_score,total_score,matches,type
GRIM,328.0769230769231,4265,13,Reference
ALL-D,284.3076923076923,3696,13,Reference
TF2T,274.0,3562,13,Reference
TFT,273.53846153846155,3556,13,Reference
RAND,270.7692307692308,3520,13,Reference
PAVLOV,263.84615384615387,3430,13,Reference
Evolved-HillClimbing,257.3076923076923,3345,13,Evolved
Evolved-EDA,257.0769230769231,3342,13,Evolved
Evolved-GA,256.9230769230769,3340,13,Evolved
Evolved-TabuSearch,256.53846153846155,3335,13,Evolved
STFT,220.69230769230768,2869,13,Reference
ALL-C,172.84615384615384,2247,13,Reference
